system:index,ndvi_mean,week_start,.geo
0,0.5238741825541456,2019-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,0.6687394644918192,2019-01-08,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,,2019-01-15,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,0.7244661083153707,2019-01-22,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,0.7079636383420719,2019-01-29,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,0.7369029624770487,2019-02-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,0.7738901577196974,2019-02-12,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,0.7555359631660614,2019-02-19,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,0.7364484609188531,2019-02-26,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,0.7291955651078145,2019-03-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,0.6870837160034344,2019-03-12,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,0.6962790099790169,2019-03-19,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,0.6534309581320187,2019-03-26,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,0.5351830565896957,2019-04-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,0.3439019168974738,2019-04-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,0.29467084478682826,2019-04-16,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,0.23819519244599352,2019-04-23,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,0.24999260790464664,2019-04-30,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,0.2125376624126256,2019-05-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,0.1745718878600718,2019-05-14,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,0.23434034936881915,2019-05-21,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,0.21539429970092733,2019-05-28,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,0.20581192385886027,2019-06-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
23,0.20167821323950996,2019-06-11,"{""type"":""MultiPoint"",""coordinates"":[]}"
24,0.20236317115928196,2019-06-18,"{""type"":""MultiPoint"",""coordinates"":[]}"
25,0.23068191773065808,2019-06-25,"{""type"":""MultiPoint"",""coordinates"":[]}"
26,0.2079443783948874,2019-07-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
27,,2019-07-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
28,0.4410830708334247,2019-07-16,"{""type"":""MultiPoint"",""coordinates"":[]}"
29,0.5617685506608295,2019-07-23,"{""type"":""MultiPoint"",""coordinates"":[]}"
30,0.5647196280073628,2019-07-30,"{""type"":""MultiPoint"",""coordinates"":[]}"
31,0.6449003222968523,2019-08-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
32,0.6805744800582273,2019-08-13,"{""type"":""MultiPoint"",""coordinates"":[]}"
33,0.6939843339804058,2019-08-20,"{""type"":""MultiPoint"",""coordinates"":[]}"
34,0.6697010318997665,2019-08-27,"{""type"":""MultiPoint"",""coordinates"":[]}"
35,0.6220815403431149,2019-09-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
36,0.6136801827365416,2019-09-10,"{""type"":""MultiPoint"",""coordinates"":[]}"
37,0.686988044743426,2019-09-17,"{""type"":""MultiPoint"",""coordinates"":[]}"
38,0.648042089678574,2019-09-24,"{""type"":""MultiPoint"",""coordinates"":[]}"
39,0.6407055993551813,2019-10-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
40,0.5904007826769138,2019-10-08,"{""type"":""MultiPoint"",""coordinates"":[]}"
41,0.49779931904005664,2019-10-15,"{""type"":""MultiPoint"",""coordinates"":[]}"
42,0.4074610174602373,2019-10-22,"{""type"":""MultiPoint"",""coordinates"":[]}"
43,0.29220277773918485,2019-10-29,"{""type"":""MultiPoint"",""coordinates"":[]}"
44,0.28087864160159354,2019-11-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
45,0.3208459545576997,2019-11-12,"{""type"":""MultiPoint"",""coordinates"":[]}"
46,0.23358199317872222,2019-11-19,"{""type"":""MultiPoint"",""coordinates"":[]}"
47,0.481682158276503,2019-11-26,"{""type"":""MultiPoint"",""coordinates"":[]}"
48,0.48463576403620084,2019-12-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
49,0.4875844006740346,2019-12-10,"{""type"":""MultiPoint"",""coordinates"":[]}"
50,0.6598743651554573,2019-12-17,"{""type"":""MultiPoint"",""coordinates"":[]}"
51,0.6049022710003407,2019-12-24,"{""type"":""MultiPoint"",""coordinates"":[]}"
52,0.6424094123222994,2019-12-31,"{""type"":""MultiPoint"",""coordinates"":[]}"
53,0.7133534890515512,2020-01-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
54,0.6225292201462259,2020-01-14,"{""type"":""MultiPoint"",""coordinates"":[]}"
55,0.7231222915237815,2020-01-21,"{""type"":""MultiPoint"",""coordinates"":[]}"
56,0.7422582433325235,2020-01-28,"{""type"":""MultiPoint"",""coordinates"":[]}"
57,0.7061341524873076,2020-02-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
58,0.7298281454407994,2020-02-11,"{""type"":""MultiPoint"",""coordinates"":[]}"
59,0.7361163852236023,2020-02-18,"{""type"":""MultiPoint"",""coordinates"":[]}"
60,0.6648696914837048,2020-02-25,"{""type"":""MultiPoint"",""coordinates"":[]}"
61,0.7349076113159442,2020-03-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
62,0.7067370524670725,2020-03-10,"{""type"":""MultiPoint"",""coordinates"":[]}"
63,0.7060080824041622,2020-03-17,"{""type"":""MultiPoint"",""coordinates"":[]}"
64,0.6861082721155094,2020-03-24,"{""type"":""MultiPoint"",""coordinates"":[]}"
65,0.5520052920790322,2020-03-31,"{""type"":""MultiPoint"",""coordinates"":[]}"
66,0.3516842125104371,2020-04-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
67,0.3076614972218258,2020-04-14,"{""type"":""MultiPoint"",""coordinates"":[]}"
68,0.2794680923778341,2020-04-21,"{""type"":""MultiPoint"",""coordinates"":[]}"
69,0.25509047680216335,2020-04-28,"{""type"":""MultiPoint"",""coordinates"":[]}"
70,0.22409766540625647,2020-05-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
71,0.1962041620474816,2020-05-12,"{""type"":""MultiPoint"",""coordinates"":[]}"
72,0.22411899242690997,2020-05-19,"{""type"":""MultiPoint"",""coordinates"":[]}"
73,0.1889683563734586,2020-05-26,"{""type"":""MultiPoint"",""coordinates"":[]}"
74,0.24982017064016324,2020-06-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
75,0.20861110159383545,2020-06-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
76,0.2287694868916503,2020-06-16,"{""type"":""MultiPoint"",""coordinates"":[]}"
77,0.2746167092121275,2020-06-23,"{""type"":""MultiPoint"",""coordinates"":[]}"
78,0.23901640611444191,2020-06-30,"{""type"":""MultiPoint"",""coordinates"":[]}"
79,0.43474001740932067,2020-07-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
80,0.34143455020757135,2020-07-14,"{""type"":""MultiPoint"",""coordinates"":[]}"
81,0.5202786144823307,2020-07-21,"{""type"":""MultiPoint"",""coordinates"":[]}"
82,0.5732248486264312,2020-07-28,"{""type"":""MultiPoint"",""coordinates"":[]}"
83,0.6569224388670141,2020-08-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
84,0.6535583595185283,2020-08-11,"{""type"":""MultiPoint"",""coordinates"":[]}"
85,0.713393077626032,2020-08-18,"{""type"":""MultiPoint"",""coordinates"":[]}"
86,0.6918101143492744,2020-08-25,"{""type"":""MultiPoint"",""coordinates"":[]}"
87,0.6745451126812456,2020-09-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
88,0.7121010149720801,2020-09-08,"{""type"":""MultiPoint"",""coordinates"":[]}"
89,0.6914327262810758,2020-09-15,"{""type"":""MultiPoint"",""coordinates"":[]}"
90,0.6368970039776625,2020-09-22,"{""type"":""MultiPoint"",""coordinates"":[]}"
91,0.6585237948942341,2020-09-29,"{""type"":""MultiPoint"",""coordinates"":[]}"
92,0.5780825896368553,2020-10-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
93,0.49357991687776054,2020-10-13,"{""type"":""MultiPoint"",""coordinates"":[]}"
94,0.3727527460941166,2020-10-20,"{""type"":""MultiPoint"",""coordinates"":[]}"
95,0.3237015097626309,2020-10-27,"{""type"":""MultiPoint"",""coordinates"":[]}"
96,0.2585445454358148,2020-11-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
97,0.2406648442373331,2020-11-10,"{""type"":""MultiPoint"",""coordinates"":[]}"
98,0.32676678477529186,2020-11-17,"{""type"":""MultiPoint"",""coordinates"":[]}"
99,0.33565120765061845,2020-11-24,"{""type"":""MultiPoint"",""coordinates"":[]}"
100,0.35735159057066285,2020-12-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
101,0.47000069289276575,2020-12-08,"{""type"":""MultiPoint"",""coordinates"":[]}"
102,0.5402843868737044,2020-12-15,"{""type"":""MultiPoint"",""coordinates"":[]}"
103,0.5617888569462668,2020-12-22,"{""type"":""MultiPoint"",""coordinates"":[]}"
104,0.5164437006147665,2020-12-29,"{""type"":""MultiPoint"",""coordinates"":[]}"
105,0.5356824212806994,2021-01-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
106,0.5004679065134267,2021-01-12,"{""type"":""MultiPoint"",""coordinates"":[]}"
107,0.6257704212198932,2021-01-19,"{""type"":""MultiPoint"",""coordinates"":[]}"
108,0.6782684930523897,2021-01-26,"{""type"":""MultiPoint"",""coordinates"":[]}"
109,0.7039637118065768,2021-02-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
110,0.6857812329718174,2021-02-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
111,0.6936708385514414,2021-02-16,"{""type"":""MultiPoint"",""coordinates"":[]}"
112,0.6909019202808886,2021-02-23,"{""type"":""MultiPoint"",""coordinates"":[]}"
113,0.688750196474723,2021-03-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
114,0.5786110957708317,2021-03-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
115,0.6236997911725786,2021-03-16,"{""type"":""MultiPoint"",""coordinates"":[]}"
116,0.5014841345160623,2021-03-23,"{""type"":""MultiPoint"",""coordinates"":[]}"
117,0.35897817032629675,2021-03-30,"{""type"":""MultiPoint"",""coordinates"":[]}"
118,0.29054923312085695,2021-04-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
119,0.22838414439357954,2021-04-13,"{""type"":""MultiPoint"",""coordinates"":[]}"
120,0.25516895624669345,2021-04-20,"{""type"":""MultiPoint"",""coordinates"":[]}"
121,0.19812219319543803,2021-04-27,"{""type"":""MultiPoint"",""coordinates"":[]}"
122,0.18535251692758742,2021-05-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
123,0.21769598814838964,2021-05-11,"{""type"":""MultiPoint"",""coordinates"":[]}"
124,0.23112291734033769,2021-05-18,"{""type"":""MultiPoint"",""coordinates"":[]}"
125,0.18170829024791643,2021-05-25,"{""type"":""MultiPoint"",""coordinates"":[]}"
126,0.166409233899335,2021-06-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
127,0.186288730181289,2021-06-08,"{""type"":""MultiPoint"",""coordinates"":[]}"
128,0.16761689511150493,2021-06-15,"{""type"":""MultiPoint"",""coordinates"":[]}"
129,0.258350294988576,2021-06-22,"{""type"":""MultiPoint"",""coordinates"":[]}"
130,0.29960336673674265,2021-06-29,"{""type"":""MultiPoint"",""coordinates"":[]}"
131,0.27772757825046046,2021-07-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
132,0.4708270373009385,2021-07-13,"{""type"":""MultiPoint"",""coordinates"":[]}"
133,0.5269590321949608,2021-07-20,"{""type"":""MultiPoint"",""coordinates"":[]}"
134,,2021-07-27,"{""type"":""MultiPoint"",""coordinates"":[]}"
135,0.577560358630387,2021-08-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
136,0.6811146601874374,2021-08-10,"{""type"":""MultiPoint"",""coordinates"":[]}"
137,0.695060110199227,2021-08-17,"{""type"":""MultiPoint"",""coordinates"":[]}"
138,0.7025505481777535,2021-08-24,"{""type"":""MultiPoint"",""coordinates"":[]}"
139,0.6219985559693473,2021-08-31,"{""type"":""MultiPoint"",""coordinates"":[]}"
140,0.6261563152478843,2021-09-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
141,0.7048077006288435,2021-09-14,"{""type"":""MultiPoint"",""coordinates"":[]}"
142,0.713419880873153,2021-09-21,"{""type"":""MultiPoint"",""coordinates"":[]}"
143,0.6374543638288361,2021-09-28,"{""type"":""MultiPoint"",""coordinates"":[]}"
144,0.6167737767236551,2021-10-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
145,0.5413289564550755,2021-10-12,"{""type"":""MultiPoint"",""coordinates"":[]}"
146,0.4473407012044005,2021-10-19,"{""type"":""MultiPoint"",""coordinates"":[]}"
147,0.38370869568186033,2021-10-26,"{""type"":""MultiPoint"",""coordinates"":[]}"
148,0.2745208580435575,2021-11-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
149,0.2897451560926584,2021-11-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
150,0.31056980534109335,2021-11-16,"{""type"":""MultiPoint"",""coordinates"":[]}"
151,0.2926378365186622,2021-11-23,"{""type"":""MultiPoint"",""coordinates"":[]}"
152,0.32851578200106396,2021-11-30,"{""type"":""MultiPoint"",""coordinates"":[]}"
153,0.45950193778003845,2021-12-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
154,0.5203855445688116,2021-12-14,"{""type"":""MultiPoint"",""coordinates"":[]}"
155,0.5058641651497369,2021-12-21,"{""type"":""MultiPoint"",""coordinates"":[]}"
156,0.6010029110733598,2021-12-28,"{""type"":""MultiPoint"",""coordinates"":[]}"
157,0.22220361883276527,2022-01-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
158,0.5861229543524912,2022-01-11,"{""type"":""MultiPoint"",""coordinates"":[]}"
159,,2022-01-18,"{""type"":""MultiPoint"",""coordinates"":[]}"
160,0.6803270841773408,2022-01-25,"{""type"":""MultiPoint"",""coordinates"":[]}"
161,0.546759541016915,2022-02-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
162,0.6724784728052442,2022-02-08,"{""type"":""MultiPoint"",""coordinates"":[]}"
163,0.7020760024838382,2022-02-15,"{""type"":""MultiPoint"",""coordinates"":[]}"
164,0.7001348577603922,2022-02-22,"{""type"":""MultiPoint"",""coordinates"":[]}"
165,0.6827369047737684,2022-03-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
166,0.6926996134446435,2022-03-08,"{""type"":""MultiPoint"",""coordinates"":[]}"
167,0.6304704876045625,2022-03-15,"{""type"":""MultiPoint"",""coordinates"":[]}"
168,0.5624822057456417,2022-03-22,"{""type"":""MultiPoint"",""coordinates"":[]}"
